domroute,first_flt,last_flt
Ho Chi Minh City : Singapore,2015-01-01 09:10:00,2019-12-31 20:42:00
Ho Chi Minh City : Seoul,2015-01-01 00:22:00,2019-12-31 17:56:00
Ho Chi Minh City : Bangkok,2015-01-01 11:50:00,2019-12-31 19:22:00
Ho Chi Minh City : Hong Kong,2015-01-01 07:50:00,2019-12-30 15:13:00
Ho Chi Minh City : Kuala Lumpur,2015-01-01 08:33:00,2019-12-31 15:23:00
Ho Chi Minh City : Busan,2015-01-01 10:00:00,2019-12-31 09:54:00
Ho Chi Minh City : Tokyo,2015-01-01 00:44:00,2019-12-31 14:45:00
Ho Chi Minh City : Melbourne,2015-01-01 11:25:00,2019-12-31 20:53:00
Ho Chi Minh City : Sydney,2015-01-01 11:50:00,2019-12-31 21:07:00
Ho Chi Minh City : Siem-reap,2015-01-01 16:45:00,2019-12-31 21:05:00
Ho Chi Minh City : Kaohsiung,2015-01-01 07:27:00,2019-12-31 17:54:00
Ho Chi Minh City : Shanghai,2015-01-01 09:25:00,2019-12-03 09:10:00
Ho Chi Minh City : Taipei,2015-01-01 08:10:00,2019-12-31 16:39:00
Danang : Seoul,2015-01-01 01:09:00,2019-12-18 04:39:00
Ho Chi Minh City : Osaka,2015-01-01 00:30:00,2019-12-31 10:23:00
Ho Chi Minh City : Guangzhou,2015-01-01 10:19:00,2019-12-17 11:55:00
Ho Chi Minh City : Jakarta,2015-01-01 09:55:00,2019-12-31 14:25:00
Ho Chi Minh City : Phnom-penh,2015-01-01 13:36:00,2019-12-31 15:41:00
Ho Chi Minh City : Frankfurt,2015-01-01 13:56:00,2019-12-31 13:53:00
Ho Chi Minh City : Paris,2015-01-01 23:15:00,2019-12-31 23:15:00
Ho Chi Minh City : Yangon,2015-01-02 11:47:00,2019-12-30 12:30:00
Danang : Tokyo,2015-01-02 10:44:00,2019-12-31 09:44:00
Danang : Hangzhou,2015-01-01 16:20:00,2019-12-03 01:26:00
Danang : Chengdu,2015-01-04 18:19:00,2019-12-01 23:15:00
Ho Chi Minh City : Nagoya,2015-01-02 00:05:00,2019-12-31 09:54:00
Danang : Guangzhou,2015-01-01 17:15:00,2019-12-02 21:28:00
Danang : Shanghai,2015-01-07 18:00:00,2019-12-01 17:56:00
Ho Chi Minh City : Fukuoka,2015-01-04 00:37:00,2019-12-31 08:38:00
Danang : Muan,2015-03-02 12:00:00,2019-12-16 14:12:00
Danang : Siem-reap,2015-01-01 17:15:00,2018-12-08 07:51:00
Danang : Osaka,2017-06-12 09:20:00,2019-12-31 09:10:00
Danang : Xi'an,2015-01-01 16:10:00,2019-12-01 22:27:00
Danang : Bangkok,2015-04-03 17:45:00,2019-12-30 17:49:00
Danang : Wuhan,2015-03-03 19:00:00,2016-06-10 18:15:00
Ho Chi Minh City : Denpasar,2019-08-28 11:11:00,2019-12-30 11:03:00
Ho Chi Minh City : Tongren,2019-03-09 17:28:00,2019-07-10 23:00:00
Danang : Chongju,2016-11-03 09:25:00,2019-12-24 01:55:00
Danang : Zunyi,2017-06-06 12:07:00,2018-05-01 13:17:00
Danang : Shijiazhuang,2015-09-17 15:05:00,2016-06-09 21:00:00
Danang : Tianjin,2018-04-21 16:39:00,2018-08-25 22:12:00
Danang : Taiyuan,2015-06-06 15:07:00,2015-12-15 20:35:00
Ho Chi Minh City : Phuket,2019-08-28 15:47:00,2019-12-30 18:28:00
Danang : Busan,2015-03-02 07:40:00,2019-08-27 08:22:00
