country_route,flt_ym,pax_total,prev_total,flt_count,exbag_rev_total,cargow_total,cargo_rev_total,mail_rev_total,avg_loadrate,avgPaxRev
Australia,2015-01,27912.0,221443796400.0,114,525922026.6,593717.0,16757430372.0,41146240.0,0.8744645236441009,7933641.315563198
Australia,2015-02,25006.0,186159827920.0,109,387600717.66,482596.0,13308041461.0,31746040.0,0.8239010306299472,7444606.411261297
Australia,2015-03,18907.0,139089664520.0,87,428315624.6,552864.0,14137025364.0,33913814.0,0.7850661135597615,7356516.873115777
Australia,2015-04,22643.0,183127091390.0,105,921402297.0,573530.0,16289899246.0,31593868.0,0.7725241675617616,8087580.770657598
Australia,2015-05,29154.0,238200203450.0,118,1162825648.7,628960.0,15880844104.0,45800274.0,0.8843618580349177,8170412.411675928
Australia,2015-06,22897.0,171974397560.0,100,720563802.94,543719.0,14255715073.0,46224809.0,0.8194917474914051,7510782.96545399
Australia,2015-07,26147.0,203046042200.0,112,394001104.8,668220.0,18277625579.0,43044975.0,0.8348717776584318,7765557.891918767
Australia,2015-08,26146.0,206214974000.0,118,473656747.7,638868.0,17723488272.0,39588835.0,0.7926500573467566,7887056.299242714
Australia,2015-09,25816.0,205660597870.0,115,489745823.9,728464.0,18194803878.0,46090226.0,0.8040470742072573,7966400.599240781
Australia,2015-10,29813.0,290244067000.0,113,772221216.74,856153.0,17181109736.0,39615725.0,0.9004654534784644,9735486.767517526
Australia,2015-11,31483.0,327348414700.0,119,1615470549.8,843307.0,14408009189.0,55997724.0,0.8971467202358,10397624.581520185
Australia,2015-12,30321.0,276952745040.0,122,1797198428.34,725245.0,14384098909.0,45146520.0,0.8440516600656276,9134024.110022757
Australia,2016-01,27932.0,218528857390.0,117,1332567846.64,797172.0,17134046328.0,49927100.0,0.811689018235198,7823602.226478591
Australia,2016-02,24327.0,207219407350.0,113,989024280.35,805743.0,17595936337.0,44180760.0,0.7341053036405775,8518083.090804456
Australia,2016-03,19817.0,152276883240.0,96,893133859.7,764731.0,16258969047.0,41941840.0,0.7012851074895977,7684154.172680022
Australia,2016-04,24205.0,190543359310.0,105,1045146736.0,689278.0,15630058372.0,4905960.0,0.78518426788191,7872066.073538525
Australia,2016-05,30076.0,261447964800.0,117,1394696867.94,820247.0,17166965976.0,54031632.0,0.8742049713945473,8692910.121026732
Australia,2016-06,22877.0,168647026810.0,104,819662096.0,769523.0,15454302153.0,55325322.0,0.7478258695188307,7371903.082134895
Australia,2016-07,24683.0,181564945920.0,108,890784347.9,848527.0,16760972091.0,53255418.0,0.7776069759079468,7355870.27184702
Australia,2016-08,25867.0,200083897750.0,118,1242688278.0,805580.0,17711606877.0,69817172.0,0.7427628176496862,7735102.553446476
Australia,2016-09,24619.0,178843339450.0,116,1621864365.5,850359.0,17725374203.0,82958064.0,0.7233698155667038,7264443.699987814
Australia,2016-10,29085.0,272070409550.0,115,1601052332.0,1011580.0,19812028313.0,74675328.0,0.8622873177683419,9354320.424617501
Australia,2016-11,30570.0,316796950750.0,116,2013402850.0,1035680.0,18803059109.0,76783738.0,0.9047596598583849,10363001.333006214
Australia,2016-12,27302.0,262540701900.0,122,1514836913.0,1023864.0,19278388908.0,55578588.0,0.7735659344824043,9616171.04607721
Australia,2017-01,24699.0,192502318120.0,114,1041103704.0,1202668.0,24836445269.0,58680594.0,0.7584809184225144,7793931.662010607
Australia,2017-02,26014.0,207220575970.0,108,705729732.0,1005944.0,19901908280.0,55779166.0,0.8206165479676875,7965732.911893596
Australia,2017-03,18540.0,130065705740.0,88,961455094.0,881271.0,16088371115.0,67957813.0,0.7296955045799133,7015410.234088457
Australia,2017-04,22075.0,164026230930.0,103,1131660456.0,930340.0,18974800476.0,4367095.0,0.775985918718402,7430406.837146093
Australia,2017-05,27230.0,230012429400.0,114,1281065210.0,956672.0,18067453734.0,83455638.0,0.8698385365389675,8447022.746970253
Australia,2017-06,19971.0,143440578050.0,97,1197266134.0,976969.0,18272975227.0,88302740.0,0.748013430831147,7182443.44549597
Australia,2017-07,23338.0,170843646420.0,109,1227659156.0,978290.0,19287619815.0,69787752.0,0.7797426576112854,7320406.47956123
Australia,2017-08,23700.0,184013559960.0,115,773188504.0,1058479.0,21734767839.0,235804306.0,0.7469732979169579,7764285.230379747
Australia,2017-09,24184.0,170536345670.0,116,1145386420.0,1165512.0,25009426314.0,84289073.0,0.7577529959056428,7051618.659857757
Australia,2017-10,27230.0,264150616900.0,117,1467151421.0,1054310.0,19809820924.0,1290211.0,0.8475052953659755,9700720.414983474
Australia,2017-11,25116.0,273300131100.0,112,1488484852.0,1063149.0,19284243808.0,163179456.0,0.8149066509862565,10881515.014333492
Australia,2017-12,28125.0,255652296400.0,115,1586220447.0,1041730.0,20411519629.0,393753251.0,0.8925737860996509,9089859.427555555
