city_roundroute,flty,flt_count,prev_total,pax_total
Danang : Bangkok,2015,2,0.0,291.20000000000005
Danang : Bangkok,2016,272,33195846088.0,23857.600000000002
Danang : Bangkok,2017,25,2949221099.2,2158.4
Danang : Bangkok,2019,236,29279777078.4,20834.4
Danang : Busan,2015,2,0.0,350.0
Danang : Busan,2016,12,15070444400.0,2041.0
Danang : Busan,2017,3,4431925000.0,610.0
Danang : Busan,2019,52,15309589464.0,5446.0
Danang : Chengdu,2015,307,27612520400.0,51352.0
Danang : Chengdu,2016,273,120893489990.0,45527.0
Danang : Chengdu,2017,291,131807691000.0,55584.0
Danang : Chengdu,2018,290,131862139490.0,55843.0
Danang : Chengdu,2019,191,79054229800.0,32611.0
Danang : Chongju,2016,10,8757789000.0,1722.0
Danang : Chongju,2017,27,24843347500.0,4645.0
Danang : Chongju,2018,18,16502796220.0,3129.0
Danang : Chongju,2019,26,21168750500.0,4130.0
Danang : Guangzhou,2015,194,41524703870.64,28480.0
Danang : Guangzhou,2016,263,95186496286.0,33882.0
Danang : Guangzhou,2017,229,93402867060.0,33828.0
Danang : Guangzhou,2018,282,123369801060.0,43530.0
Danang : Guangzhou,2019,284,113335833386.0,38325.0
Danang : Hangzhou,2015,368,147007438084.0,49551.0
Danang : Hangzhou,2016,376,132861339562.0,46649.0
Danang : Hangzhou,2017,367,181590896374.0,57175.0
Danang : Hangzhou,2018,392,198458347350.0,61499.0
Danang : Hangzhou,2019,351,171979171910.0,45782.0
Danang : Muan,2015,8,0.0,1395.0
Danang : Muan,2016,40,30970782000.0,6586.0
Danang : Muan,2017,69,47858058020.0,11659.0
Danang : Muan,2018,195,123008094000.0,32221.0
Danang : Muan,2019,157,97095661000.0,22401.0
Danang : Osaka,2017,1,1294285200.0,103.8
Danang : Osaka,2018,239,65485952674.8,12005.4
Danang : Osaka,2019,683,278610774156.0,46808.4
Danang : Seoul,2015,703,390938915810.0,107412.0
Danang : Seoul,2016,699,425944880650.0,111690.0
Danang : Seoul,2017,633,460722788980.0,100544.0
Danang : Seoul,2018,680,429171312210.0,95989.0
Danang : Seoul,2019,652,337685267130.0,92188.0
Danang : Shanghai,2015,80,17153999960.0,12655.0
Danang : Shanghai,2016,191,94587908490.0,30833.0
Danang : Shanghai,2017,190,92472089540.0,30889.0
Danang : Shanghai,2018,196,96324487520.0,32096.0
Danang : Shanghai,2019,144,70804153520.0,24613.0
Danang : Shijiazhuang,2015,18,7386258000.0,2439.0
Danang : Shijiazhuang,2016,53,32571412500.0,7511.0
Danang : Siem-reap,2015,678,84162817011.0,35341.0
Danang : Siem-reap,2016,414,75311491962.0,30223.0
Danang : Siem-reap,2017,29,6329333336.0,2538.0
Danang : Siem-reap,2018,1,350000000.0,87.0
Danang : Taiyuan,2015,73,13457142541.0,9094.0
Danang : Tianjin,2018,66,42026989000.0,9879.0
Danang : Tokyo,2015,580,236606489214.0,44824.2
Danang : Tokyo,2016,602,283934399352.0,48699.6
Danang : Tokyo,2017,639,337642950564.0,52179.0
