city_roundroute,flt_ym,flt_count,prev_total,exbag_rev_total,cargow_total,cargo_rev_total,mail_rev_total,pax_total,avg_loadrate,avgPaxRev
Danang : Bangkok,2015-04,2,0.0,0.0,0.0,0.0,0.0,291.20000000000005,0.9430954165774257,0.0
Danang : Bangkok,2016-03,3,707394720.0,0.0,833.6,5355032.800000001,0.0,446.4,0.9791622046119798,1584665.5913978496
Danang : Bangkok,2016-04,17,3326155936.0,0.0,1924.0,25623091.2,0.0,2227.2000000000003,0.8900255754475703,1493424.8994252873
Danang : Bangkok,2016-05,34,3976077451.2,20435060.0,9195.2,115026856.8,0.0,3163.2000000000003,0.634502778588989,1256979.4673748103
Danang : Bangkok,2016-06,34,4735276444.8,14362607.2,6272.0,106207665.60000001,0.0,3578.4,0.7175583350096266,1323294.3340040243
Danang : Bangkok,2016-07,34,3359008694.4,23388960.0,11118.4,82463905.6,0.0,2355.2000000000003,0.4702826450055116,1426209.5339673911
Danang : Bangkok,2016-08,32,3123233948.8,20279344.216,4024.8,65382641.6,0.0,2267.2000000000003,0.483556347703957,1377573.1954834156
Danang : Bangkok,2016-09,27,2227833878.4,49403688.0,13081.6,167221409.6,0.0,1799.2,0.4564697208199895,1238235.8150289017
Danang : Bangkok,2016-10,28,3412535790.4,72355972.8,9262.4,148659907.2,0.0,2294.4,0.5599478622876133,1487332.5446304046
Danang : Bangkok,2016-11,29,3614181676.8,78580699.2,8044.000000000001,86839135.2,0.0,2428.8,0.5675032979442088,1488052.4031620554
Danang : Bangkok,2016-12,34,4714147547.2,37199124.0,11210.4,133181983.2,0.0,3297.6,0.66181902911258,1429569.24648229
Danang : Bangkok,2017-01,25,2949221099.2,37093440.0,15052.800000000001,108128120.0,0.0,2158.4,0.5865909019807912,1366392.2809488508
Danang : Bangkok,2019-08,7,441121414.4,6689644.0,362.4,3221897.6,0.0,360.0,0.3611556982343499,1225337.262222222
Danang : Bangkok,2019-09,58,5338454739.2,158122679.2,16103.2,268196028.79999998,0.0,4634.400000000001,0.5585481305259807,1151919.2860348695
Danang : Bangkok,2019-10,59,7839205902.4,205500956.0,13840.8,280654636.8,0.0,5702.400000000001,0.6756373425225249,1374720.4514590346
Danang : Bangkok,2019-11,58,8552383342.4,249165177.6,15245.6,257530106.4,0.0,5468.8,0.657118070178394,1563850.0845523698
Danang : Bangkok,2019-12,54,7108611680.0,180451538.4,21567.2,334289491.2,0.0,4668.8,0.6001608668200232,1522577.895819054
Danang : Busan,2015-03,2,0.0,0.0,0.0,0.0,0.0,350.0,0.8620689655172413,0.0
Danang : Busan,2016-05,1,1344875500.0,0.0,0.0,0.0,0.0,172.0,0.9347826086956522,7819043.604651162
Danang : Busan,2016-06,9,11004358900.0,0.0,0.0,0.0,0.0,1523.0,0.9196859903381642,7225449.047931714
Danang : Busan,2016-07,2,2721210000.0,0.0,0.0,0.0,0.0,346.0,0.9402173913043478,7864768.786127168
Danang : Busan,2017-08,3,4431925000.0,0.0,0.0,0.0,0.0,610.0,0.8324016563146998,7265450.819672131
Danang : Busan,2019-05,8,3194403780.0,0.0,0.0,0.0,0.0,1146.0,0.7237229599485971,2787437.8534031413
Danang : Busan,2019-06,15,6102057654.0,9359334.0,258.0,6585088.0,0.0,1876.0,0.6240950953094881,3252695.9776119404
Danang : Busan,2019-07,15,3415469110.0,18569331.0,0.0,0.0,0.0,1404.0,0.4647461983294067,2432670.3062678063
Danang : Busan,2019-08,14,2597658920.0,17402432.0,0.0,0.0,0.0,1020.0,0.35890218156228004,2546724.431372549
Danang : Chengdu,2015-01,17,0.0,0.0,0.0,0.0,0.0,2630.0,0.8111999672432691,0.0
Danang : Chengdu,2015-02,28,0.0,0.0,0.0,0.0,0.0,4843.0,0.9242362237248722,0.0
Danang : Chengdu,2015-03,35,0.0,0.0,0.0,0.0,0.0,5787.0,0.883836398127467,0.0
Danang : Chengdu,2015-04,33,0.0,0.0,0.0,0.0,0.0,5205.0,0.8298066875653083,0.0
Danang : Chengdu,2015-05,33,0.0,0.0,0.0,0.0,0.0,5520.0,0.8929983060417843,0.0
Danang : Chengdu,2015-06,32,0.0,0.0,0.0,0.0,0.0,5616.0,0.9261769784750482,0.0
Danang : Chengdu,2015-07,23,0.0,0.0,339.0,9768860.0,0.0,3858.0,0.8817466266866567,0.0
Danang : Chengdu,2015-08,17,0.0,0.0,0.0,0.0,0.0,2711.0,0.8475079687047232,0.0
Danang : Chengdu,2015-09,16,0.0,0.0,0.0,0.0,0.0,2778.0,0.9214550091025916,0.0
Danang : Chengdu,2015-10,15,0.0,3383000.0,0.0,0.0,0.0,2320.0,0.8405797101449275,0.0
Danang : Chengdu,2015-11,26,11654460720.0,0.0,696.0,7264257.0,0.0,4425.0,0.891561774058026,2633776.433898305
Danang : Chengdu,2015-12,32,15958059680.0,0.0,0.0,0.0,0.0,5659.0,0.936086923056329,2819943.396359781
Danang : Chengdu,2016-01,33,15743078050.0,0.0,0.0,0.0,0.0,5749.0,0.9197065428324799,2738402.8613671944
Danang : Chengdu,2016-02,22,10228264200.0,0.0,0.0,0.0,0.0,3904.0,0.9521955742907767,2619944.723360656
Danang : Chengdu,2016-03,26,12087948600.0,0.0,568.0,5864231.0,0.0,4313.0,0.8946992849728981,2802677.625782518
Danang : Chengdu,2016-04,22,10274130900.0,0.0,1884.0,19320000.0,0.0,3633.0,0.8898038805272688,2828001.8992568124
Danang : Chengdu,2016-05,34,15827672680.0,0.0,973.0,7787100.0,0.0,5188.0,0.815504800120948,3050823.569776407
Danang : Chengdu,2016-06,25,10553890020.0,0.0,23.0,617402.0,0.0,4136.0,0.8853148425787105,2551714.2214700193
Danang : Chengdu,2016-07,16,6713183740.0,0.0,302.0,2479870.0,0.0,2508.0,0.8401072901049476,2676708.0303030303
Danang : Chengdu,2016-08,17,6985982520.0,0.0,325.0,3930598.0,0.0,2732.0,0.8734015345268542,2557094.626647145
