Region,flty,flt_count,prev_total,pax_total
Australia Continent,2015,1332,2649461822050.0,316245.0
Australia Continent,2016,1347,2610563744220.0,311360.0
Australia Continent,2017,1308,2385764434660.0,290222.0
Australia Continent,2018,1380,2604703169390.0,314897.0
Australia Continent,2019,1338,2704152165220.0,318188.0
Europe,2015,622,1194726712168.0,129037.6
Europe,2016,633,1204939996104.0,125640.79999999999
Europe,2017,649,1292535295152.0,128516.8
Europe,2018,683,1460544551064.0,135748.8
Europe,2019,673,1361547808736.0,128972.0
North East Asia,2015,11053,6870135934878.439,1707090.6
North East Asia,2016,11374,7351231061309.2,1811488.4
North East Asia,2017,11386,7704278056331.2,1811698.2
North East Asia,2018,12618,9170777548076.4,2025416.6
North East Asia,2019,12725,8720736703650.4,1979532.0
South East Asia,2015,9041,2416972566471.6,1195521.2
South East Asia,2016,9127,2344131031768.8,1217195.3
South East Asia,2017,8154,2291963923377.8,1108181.4
South East Asia,2018,8256,2630726856149.0,1159404.6
South East Asia,2019,8289,2577024034485.8,1176392.8
