city_roundroute,pax
Ho Chi Minh City : Singapore,1610596.0
Ho Chi Minh City : Seoul,1407196.0
Ho Chi Minh City : Bangkok,1259544.8
Ho Chi Minh City : Hong Kong,1130612.8
Ho Chi Minh City : Kuala Lumpur,860156.7
Ho Chi Minh City : Busan,829182.0
Ho Chi Minh City : Tokyo,796274.4
Ho Chi Minh City : Melbourne,787586.0
Ho Chi Minh City : Sydney,763326.0
Ho Chi Minh City : Siem-reap,752670.0
Ho Chi Minh City : Kaohsiung,690124.0
Ho Chi Minh City : Shanghai,681305.0
Ho Chi Minh City : Taipei,631460.0
Danang : Seoul,507823.0
Ho Chi Minh City : Osaka,494976.6
Ho Chi Minh City : Guangzhou,465730.0
Ho Chi Minh City : Jakarta,465228.0
Ho Chi Minh City : Phnom-penh,452422.0
Ho Chi Minh City : Frankfurt,335834.4
Ho Chi Minh City : Paris,312081.6
Ho Chi Minh City : Yangon,311807.0
Danang : Tokyo,260959.8
Danang : Hangzhou,260656.0
Danang : Chengdu,240917.0
Ho Chi Minh City : Nagoya,224302.19999999998
Danang : Guangzhou,178045.0
Danang : Shanghai,131086.0
Ho Chi Minh City : Fukuoka,107579.4
Danang : Muan,74262.0
Danang : Siem-reap,68189.0
Danang : Osaka,58917.6
Danang : Xi'an,54352.0
Danang : Bangkok,47141.6
Danang : Wuhan,29231.0
Ho Chi Minh City : Denpasar,20221.0
Ho Chi Minh City : Tongren,17284.0
Danang : Chongju,13626.0
Danang : Zunyi,11954.0
Danang : Shijiazhuang,9950.0
Danang : Tianjin,9879.0
Danang : Taiyuan,9094.0
Ho Chi Minh City : Phuket,8719.2
Danang : Busan,8447.0
